event_id,event_name,start_date,end_date,category,status,description
PLAN-001,Project Planning,2024-01-01,2024-01-15,Planning,completed,Initial project scoping and requirements gathering
DESIGN-001,UI/UX Design,2024-01-16,2024-02-15,Design,completed,User interface and experience design phase
DESIGN-002,Architecture Design,2024-01-20,2024-02-10,Design,completed,System architecture and technical design
DEV-001,Backend Development,2024-02-16,2024-04-30,Development,in_progress,API and database development
DEV-002,Frontend Development,2024-03-01,2024-05-15,Development,in_progress,User interface implementation
DEV-003,Integration Testing,2024-04-15,2024-05-30,Development,planned,Integration of frontend and backend
QA-001,Quality Assurance,2024-05-01,2024-06-15,Testing,planned,Comprehensive testing phase
QA-002,Performance Testing,2024-05-20,2024-06-05,Testing,planned,Load and performance testing
SEC-001,Security Audit,2024-06-01,2024-06-20,Security,planned,Security vulnerability assessment
DOC-001,Documentation,2024-06-10,2024-07-05,Documentation,planned,Technical and user documentation
TRAIN-001,User Training,2024-07-01,2024-07-15,Training,planned,End-user training sessions
DEPLOY-001,Staging Deployment,2024-07-10,2024-07-12,Deployment,planned,Deploy to staging environment
DEPLOY-002,Production Deployment,2024-07-20,2024-07-22,Deployment,planned,Deploy to production environment
MILESTONE-001,Beta Release,2024-06-25,2024-06-25,Milestone,planned,Beta version release to select users
MILESTONE-002,Go-Live,2024-07-22,2024-07-22,Milestone,planned,Official production launch
